남은 시간,학습 진도율,구분,가중치,우선순위 점수
0,75,10,전공,1.5,13.52
1,236,13,일반,0.5,4.3521
2,317,43,전공,1.5,8.5547
3,69,72,교양,1.0,2.8145
4,105,90,전공,1.5,1.5143
5,330,71,일반,0.5,1.4515
6,183,93,일반,0.5,0.3527
7,202,61,일반,0.5,1.9525
8,89,4,전공,1.5,14.4169
9,193,41,전공,1.5,8.8578
10,305,44,교양,1.0,5.6033
11,114,33,전공,1.5,10.0632
12,215,3,전공,1.5,14.557
13,95,97,전공,1.5,0.4658
14,209,34,전공,1.5,9.9072
15,228,91,전공,1.5,1.3566
16,14,42,일반,0.5,2.9357
17,272,80,일반,0.5,1.0018
18,19,96,전공,1.5,0.6789
19,259,7,일반,0.5,4.6519
20,211,83,전공,1.5,2.5571
21,310,73,일반,0.5,1.3516
22,263,24,교양,1.0,7.6038
23,89,84,전공,1.5,2.4169
24,286,62,교양,1.0,3.8035
25,37,53,일반,0.5,2.3635
26,22,29,일반,0.5,3.5727
27,56,1,일반,0.5,4.9589
28,218,97,교양,1.0,0.3046
29,139,74,일반,0.5,1.3036
30,132,0,교양,1.0,10.0076
31,197,22,교양,1.0,7.8051
32,119,70,교양,1.0,3.0084
33,108,12,일반,0.5,4.4046
34,27,11,전공,1.5,13.4055
35,259,76,전공,1.5,3.6058
36,116,58,전공,1.5,6.3129
37,181,14,교양,1.0,8.6055
38,206,4,전공,1.5,14.4073
39,29,65,교양,1.0,3.5345
40,335,16,일반,0.5,4.2015
41,192,29,일반,0.5,3.5526
42,29,26,교양,1.0,7.4345
43,203,26,교양,1.0,7.4049
44,173,22,일반,0.5,3.9029
45,289,39,교양,1.0,6.1035
46,211,94,교양,1.0,0.6047
47,163,24,교양,1.0,7.6061
48,112,41,일반,0.5,2.9545
49,49,49,일반,0.5,2.5602
50,81,72,전공,1.5,4.2185
51,86,44,교양,1.0,5.6116
52,61,100,전공,1.5,0.0246
53,249,2,일반,0.5,4.902
54,167,66,일반,0.5,1.703
55,315,16,일반,0.5,4.2016
56,154,53,교양,1.0,4.7065
57,233,92,일반,0.5,0.4021
58,259,45,교양,1.0,5.5039
59,273,69,전공,1.5,4.6555
60,230,44,전공,1.5,8.4065
61,101,64,전공,1.5,5.4149
62,11,23,일반,0.5,3.8954
63,150,11,전공,1.5,13.36
64,45,19,전공,1.5,12.1833
65,173,39,일반,0.5,3.0529
66,34,64,교양,1.0,3.6294
67,126,75,전공,1.5,3.7619
68,332,65,교양,1.0,3.503
69,51,49,교양,1.0,5.1196
70,257,79,전공,1.5,3.1558
71,311,39,일반,0.5,3.0516
72,167,25,전공,1.5,11.259
73,276,41,일반,0.5,2.9518
74,262,74,일반,0.5,1.3019
75,136,49,일반,0.5,2.5537
76,90,63,교양,1.0,3.7111
77,11,98,일반,0.5,0.1454
78,13,39,교양,1.0,6.1769
79,177,74,일반,0.5,1.3028
80,241,7,교양,1.0,9.3041
81,175,23,교양,1.0,7.7057
82,84,16,교양,1.0,8.4119
83,53,63,전공,1.5,5.5783
84,112,45,일반,0.5,2.7545
85,75,12,교양,1.0,8.8133
86,175,64,일반,0.5,1.8029
87,231,37,교양,1.0,6.3043
88,237,53,교양,1.0,4.7042
89,118,31,교양,1.0,6.9085
90,125,64,전공,1.5,5.412
91,203,76,일반,0.5,1.2025
92,165,49,전공,1.5,7.6591
93,7,30,전공,1.5,10.714
94,273,13,일반,0.5,4.3518
95,43,22,일반,0.5,3.9116
96,25,64,교양,1.0,3.64
97,100,84,교양,1.0,1.61
98,321,56,일반,0.5,2.2016
99,313,60,일반,0.5,2.0016
100,235,45,교양,1.0,5.5043
101,216,42,전공,1.5,8.7069
102,165,65,전공,1.5,5.2591
103,302,27,일반,0.5,3.6517
104,5,14,교양,1.0,8.7996
105,270,66,전공,1.5,5.1056
106,83,46,전공,1.5,8.1181
107,125,58,전공,1.5,6.312
108,261,53,전공,1.5,7.0557
109,250,25,일반,0.5,3.752
110,138,78,교양,1.0,2.2072
